"spine","title","year","ccid","dbid"
"0468","Images mathématiques de la quatrième dimension","1937","1286","3431599"
"0468","Images mathématiques de la lutte pour la vie","1937","1286","6531783"
"0468","Voyage dans le ciel","1937","1286","3431581"
"0468","Similarities Between Length and Speed","1937","1286","6532820"
"0468","Barbe-Bleue","1936","1286","1996329"
"0469","The Hit","1984","1285","1547127"
"0470","Wise Blood","1979","1424","1302064"
"0472","Pigs and Battleships","1962","1428","1420283"
"0473","The Insect Woman","1963","1430","1302917"
"0474","Intentions of Murder","1964","1431","1433503"
"0475","The Friends of Eddie Coyle","1973","1426","1301020"
"0476","The Curious Case of Benjamin Button","2008","1584","1485260"
"0477","Bergman Island","2006","556","1889155"
"0478","Last Year at Marienbad","1961","1517","1400240"
"0479","My Dinner with André","1981","1093","1304953"
"0480","The Human Condition","1959","2106","1298561"
"0481","Made in U.S.A","1966","2109","1304741"
"0482","2 or 3 Things I Know About Her","1967","1333","1300964"
"0483","Repulsion","1965","404","1301647"
"0484","Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles","1975","302","1868933"
"0485","The Last Days of Disco","1998","2954","1293453"
"0486","Homicide","1991","3558","1307196"
"0487","That Hamilton Woman","1941","3559","1292885"
"0488","Howards End","1992","1515","1293706"
"0489","Monsoon Wedding","2001","2364","1307772"
"0490","Wings of Desire","1987","200","1292504"
"0491","Z","1969","1400","1299026"
"0492","A Christmas Tale","2008","474","2044081"
"0493","Gomorrah","2008","1590","3040438"
"0494","Downhill Racer","1969","20391","1306944"
"0495","Marty","1953","3560","25944662"
"0495","Patterns","1956","3560","4002479"
"0495","No Time for Sergeants","1955","3560","4002481"
"0495","A Wind from the South","1955","3560","4002482"
"0495","Requiem for a Heavyweight","1956","3560","4002490"
"0495","Bang the Drum Slowly","1956","3560","4002492"
"0495","The Comedian","1957","3560","4002502"
"0495","Days of Wine and Roses","1958","3560","4002509"
"0496","Che","2008","20987","1929402"
"0496","Che","2008","20987","1471508"
"0497","Rome Open City","1945","975","1296669"
"0498","Paisan","1946","2415","1299257"
