"rank","name_cn","name","date","bgmid","dbid"
"211","剧场版 空之境界 第一章 俯瞰风景","劇場版 空の境界 第一章 俯瞰風景","2007年12月1日","233","2354897"
"212","娜娜","NANA-ナナ-","2006年4月5日","486","1794082"
"213","剧场版 空之境界 第三章 痛觉残留","劇場版 空の境界 第三章 痛覚残留","2008年2月9日","767","2354908"
"214","交响情人梦","のだめカンタービレ","2007年1月11日","443","1950601"
"215","无头骑士异闻录","デュラララ!!","2010年1月7日","2463","4291876"
"216","轻音少女 剧场版","映画けいおん！","2011年12月3日","12426","5403927"
"217","悠久之翼","ef - a tale of memories.","2007年10月6日","799","2330876"
"218","爆漫王。","バクマン。","2010年10月2日","3428","4195628"
"219","龙珠Z","ドラゴンボールZ","1989年4月26日","9005","4006490"
"220","DARKER THAN BLACK -黑之契约者-","DARKER THAN BLACK -黒の契約者-","2007年4月5日","292","2052059"
"221","机动战舰","機動戦艦ナデシコ","1996年10月1日","515","1455449"
"222","银魂 JUMP动画巡回展 2005","銀魂 〜何事も最初が肝心なので多少背伸びするくらいが丁度良い〜","2005年9月24日","3153",""
"223","斩服少女","キルラキル","2013年10月3日","72941","24532162"
"224","机动战士高达","機動戦士ガンダム","1979年4月7日","50","1766697"
"225","偶像大师","THE iDOLM@STER","2011年7月7日","11577","5915753"
"226","JOJO的奇妙冒险 不灭钻石","ジョジョの奇妙な冒険 ダイヤモンドは砕けない","2016年4月1日","150490","26650051"
"227","剧场版 悠哉日常大王 Vacation","劇場版 のんのんびより ばけーしょん","2018年8月25日","215618","27063403"
"228","疯狂约会美丽都","Les triplettes de Belleville","2003年6月11日","4038","1291565"
"229","男子高中生的日常","男子高校生の日常","2012年1月9日","24790","6894811"
"230","重启咲良田","サクラダリセット","2017年4月5日","193378","26882248"
"231","祖先大人万万岁","御先祖様万々歳!","1989年8月5日","4042","2228591"
"232","萩萩公主","プリンセスチュチュ","2002年8月16日","5694","1848458"
"233","恶魔人 crybaby","DEVILMAN crybaby","2018年1月5日","211311","26997470"
"234","悠哉日常大王 Repeat","のんのんびより りぴーと","2015年7月6日","101442","25861694"
"235","银之匙 Silver Spoon","銀の匙 Silver Spoon","2013年7月11日","59664","20491392"
"236","罗小黑战记","","2011年3月17日","13603","10477598"
"237","天体战士","天体戦士サンレッド","2008年10月3日","968","3199466"
"238","红线","REDLINE","2010年10月9日","8726","3903715"
"239","降世神通：最后的气宗 第三季","Avatar:The Last Airbender Season 3","2007年9月21日","4608","2270295"
"240","剧场版 魔法少女小圆 剧场版 [后篇] 永远的物语","劇場版 魔法少女まどか☆マギカ [後編] 永遠の物語","2012年10月13日","44692","10569150"
"241","麻辣教师GTO","GTO","1999年6月30日","2045","2032822"
"242","赌博默示录","逆境無頼カイジ Ultimate Survivor","2007年10月2日","3892","3035147"
"243","NO GAME NO LIFE 游戏人生 ZERO","ノーゲーム・ノーライフ ゼロ","2017年7月15日","187276","26837952"
"244","悠哉日常大王","のんのんびより","2013年10月7日","78405","21371652"
"245","勇者王GaoGaiGar Final","勇者王ガオガイガーFINAL","2000年1月21日","2979","2567903"
"246","少年同盟 2","君と僕。2","2012年4月2日","29421","6844863"
"247","天体战士 第2期","天体戦士サンレッド 第2期","2009年10月3日","2611","3813933"
"248","×××HOLiC◆继","×××HOLiC◆継","2008年4月3日","2896",""
"249","秀逗魔导士NEXT","スレイヤーズNEXT","1996年4月5日","2096","1766532"
"250","蓝宝石之谜","ふしぎの海のナディア","1990年4月13日","1981","1470189"
